timestamp,temperature.gpu,utilization.gpu [%],utilization.memory [%],memory.used [MiB],memory.total [MiB],power.draw [W],fan.speed [%],clocks.current.sm [MHz],clocks.current.memory [MHz]
2026/07/04 19:11:41.511,57.0,100.0 %,5.0 %,1334.0 MiB,8151.0 MiB,40.76 W,[N/A],2655.0 MHz,12001.0 MHz
2026/07/04 19:11:42.511,57.0,100.0 %,6.0 %,1334.0 MiB,8151.0 MiB,40.78 W,[N/A],2655.0 MHz,12001.0 MHz
2026/07/04 19:11:43.511,57.0,100.0 %,6.0 %,1334.0 MiB,8151.0 MiB,40.76 W,[N/A],2655.0 MHz,12001.0 MHz
2026/07/04 19:11:44.511,57.0,100.0 %,5.0 %,1334.0 MiB,8151.0 MiB,40.83 W,[N/A],2655.0 MHz,12001.0 MHz
2026/07/04 19:11:45.511,57.0,100.0 %,6.0 %,1334.0 MiB,8151.0 MiB,40.75 W,[N/A],2655.0 MHz,12001.0 MHz
2026/07/04 19:11:46.511,57.0,100.0 %,5.0 %,1334.0 MiB,8151.0 MiB,40.74 W,[N/A],2655.0 MHz,12001.0 MHz
2026/07/04 19:11:47.511,57.0,100.0 %,6.0 %,1334.0 MiB,8151.0 MiB,40.74 W,[N/A],2655.0 MHz,12001.0 MHz
2026/07/04 19:11:48.511,57.0,100.0 %,6.0 %,1334.0 MiB,8151.0 MiB,40.78 W,[N/A],2655.0 MHz,12001.0 MHz
2026/07/04 19:11:49.511,57.0,100.0 %,5.0 %,1334.0 MiB,8151.0 MiB,40.75 W,[N/A],2655.0 MHz,12001.0 MHz
2026/07/04 19:11:50.511,57.0,100.0 %,6.0 %,1334.0 MiB,8151.0 MiB,40.8 W,[N/A],2655.0 MHz,12001.0 MHz
2026/07/04 19:11:51.511,57.0,100.0 %,6.0 %,1334.0 MiB,8151.0 MiB,40.75 W,[N/A],2655.0 MHz,12001.0 MHz
2026/07/04 19:11:52.511,57.0,100.0 %,5.0 %,1334.0 MiB,8151.0 MiB,40.76 W,[N/A],2655.0 MHz,12001.0 MHz
2026/07/04 19:11:53.511,57.0,100.0 %,6.0 %,1334.0 MiB,8151.0 MiB,40.8 W,[N/A],2655.0 MHz,12001.0 MHz
2026/07/04 19:11:54.511,57.0,100.0 %,6.0 %,1334.0 MiB,8151.0 MiB,40.79 W,[N/A],2655.0 MHz,12001.0 MHz
2026/07/04 19:11:55.511,57.0,100.0 %,5.0 %,1334.0 MiB,8151.0 MiB,40.78 W,[N/A],2647.0 MHz,12001.0 MHz
2026/07/04 19:11:56.511,57.0,100.0 %,6.0 %,1334.0 MiB,8151.0 MiB,40.73 W,[N/A],2655.0 MHz,12001.0 MHz
2026/07/04 19:11:57.511,57.0,100.0 %,6.0 %,1334.0 MiB,8151.0 MiB,40.77 W,[N/A],2655.0 MHz,12001.0 MHz
2026/07/04 19:11:58.511,57.0,100.0 %,5.0 %,1334.0 MiB,8151.0 MiB,40.82 W,[N/A],2647.0 MHz,12001.0 MHz
2026/07/04 19:11:59.511,57.0,100.0 %,6.0 %,1334.0 MiB,8151.0 MiB,40.75 W,[N/A],2655.0 MHz,12001.0 MHz
2026/07/04 19:12:00.511,57.0,100.0 %,6.0 %,1334.0 MiB,8151.0 MiB,40.81 W,[N/A],2655.0 MHz,12001.0 MHz
2026/07/04 19:12:01.511,57.0,100.0 %,5.0 %,1334.0 MiB,8151.0 MiB,40.79 W,[N/A],2655.0 MHz,12001.0 MHz
2026/07/04 19:12:02.511,58.0,100.0 %,6.0 %,1334.0 MiB,8151.0 MiB,40.75 W,[N/A],2655.0 MHz,12001.0 MHz
2026/07/04 19:12:03.511,58.0,100.0 %,5.0 %,1334.0 MiB,8151.0 MiB,40.88 W,[N/A],2655.0 MHz,12001.0 MHz
2026/07/04 19:12:04.511,58.0,100.0 %,5.0 %,1334.0 MiB,8151.0 MiB,40.81 W,[N/A],2655.0 MHz,12001.0 MHz
2026/07/04 19:12:05.511,58.0,100.0 %,6.0 %,1334.0 MiB,8151.0 MiB,40.86 W,[N/A],2655.0 MHz,12001.0 MHz
2026/07/04 19:12:06.511,58.0,100.0 %,5.0 %,1334.0 MiB,8151.0 MiB,40.82 W,[N/A],2655.0 MHz,12001.0 MHz
2026/07/04 19:12:07.511,58.0,100.0 %,5.0 %,1334.0 MiB,8151.0 MiB,40.81 W,[N/A],2655.0 MHz,12001.0 MHz
2026/07/04 19:12:08.511,58.0,100.0 %,6.0 %,1334.0 MiB,8151.0 MiB,40.81 W,[N/A],2655.0 MHz,12001.0 MHz
2026/07/04 19:12:09.511,58.0,100.0 %,5.0 %,1334.0 MiB,8151.0 MiB,40.82 W,[N/A],2647.0 MHz,12001.0 MHz
2026/07/04 19:12:10.511,58.0,100.0 %,6.0 %,1334.0 MiB,8151.0 MiB,40.88 W,[N/A],2647.0 MHz,12001.0 MHz
2026/07/04 19:12:11.511,58.0,100.0 %,6.0 %,1334.0 MiB,8151.0 MiB,40.84 W,[N/A],2655.0 MHz,12001.0 MHz
2026/07/04 19:12:12.511,58.0,100.0 %,5.0 %,1334.0 MiB,8151.0 MiB,40.83 W,[N/A],2647.0 MHz,12001.0 MHz
2026/07/04 19:12:13.511,58.0,100.0 %,6.0 %,1334.0 MiB,8151.0 MiB,40.91 W,[N/A],2655.0 MHz,12001.0 MHz
2026/07/04 19:12:14.511,58.0,100.0 %,6.0 %,1334.0 MiB,8151.0 MiB,40.92 W,[N/A],2655.0 MHz,12001.0 MHz
2026/07/04 19:12:15.511,58.0,100.0 %,5.0 %,1334.0 MiB,8151.0 MiB,40.85 W,[N/A],2655.0 MHz,12001.0 MHz
2026/07/04 19:12:16.511,58.0,100.0 %,6.0 %,1334.0 MiB,8151.0 MiB,40.9 W,[N/A],2655.0 MHz,12001.0 MHz
2026/07/04 19:12:17.511,58.0,100.0 %,6.0 %,1334.0 MiB,8151.0 MiB,40.9 W,[N/A],2655.0 MHz,12001.0 MHz
2026/07/04 19:12:18.511,58.0,100.0 %,5.0 %,1334.0 MiB,8151.0 MiB,40.89 W,[N/A],2655.0 MHz,12001.0 MHz
2026/07/04 19:12:19.511,58.0,100.0 %,6.0 %,1334.0 MiB,8151.0 MiB,40.9 W,[N/A],2655.0 MHz,12001.0 MHz
2026/07/04 19:12:20.511,58.0,100.0 %,6.0 %,1334.0 MiB,8151.0 MiB,40.88 W,[N/A],2655.0 MHz,12001.0 MHz
2026/07/04 19:12:21.511,58.0,100.0 %,5.0 %,1334.0 MiB,8151.0 MiB,40.85 W,[N/A],2647.0 MHz,12001.0 MHz
2026/07/04 19:12:22.511,58.0,100.0 %,6.0 %,1334.0 MiB,8151.0 MiB,40.83 W,[N/A],2655.0 MHz,12001.0 MHz
2026/07/04 19:12:23.511,58.0,100.0 %,6.0 %,1334.0 MiB,8151.0 MiB,40.89 W,[N/A],2655.0 MHz,12001.0 MHz
2026/07/04 19:12:24.511,58.0,100.0 %,5.0 %,1334.0 MiB,8151.0 MiB,40.95 W,[N/A],2655.0 MHz,12001.0 MHz
